address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
79 C. Bajia Conception Rosarito Bcmex,Outside Area (Outside Ca),CA,10001,349000,2500,1,3.0,56,House For Sale,"http://www.zillow.com/homes/for_sale/2096366308_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
315 7th Ave Apt 8E,New York,NY,10001,699000,532,0,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/31503911_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
430 W 34th St Apt 3F,New York,NY,10001,950000,1000,2,2.0,NA,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2096567214_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
245 10th Ave Apt 3W,New York,NY,10001,4000000,2300,3,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098769079_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
249 W 29th St,New York,NY,10001,3250000,1600,2,2.0,97,Foreclosure,"http://www.zillow.com/homes/for_sale/31503355_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
252 W 30th St Apt 9A,New York,NY,10001,1989000,1475,2,2.0,100,Condo For Sale,"http://www.zillow.com/homes/for_sale/31503370_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
252 7th Ave Apt 4D,New York,NY,10001,3285000,1934,3,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/55501375_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
130 W 30th St # Penthousea,New York,NY,10001,5250000,2988,3,4.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2097202920_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
252 7th Ave Apt 5U,New York,NY,10001,3495000,1665,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/55501416_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
252 7th Ave Apt 12T,New York,NY,10001,2695000,1140,1,2.0,208,Condo For Sale,"http://www.zillow.com/homes/for_sale/55501597_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 9,New York,NY,10001,5975000,2147,2,3.0,235,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098565185_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # 17B,New York,NY,10001,2985000,1310,2,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098676781_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # 3E,New York,NY,10001,2800000,1325,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098676782_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
540 W 28th St Apt 8F,New York,NY,10001,1295000,729,1,1.0,246,Condo For Sale,"http://www.zillow.com/homes/for_sale/112089032_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
525 W 29th St Fl 3,New York,NY,10001,16999000,7500,2,5.0,269,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2098991169_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
315 7th Ave # PhD,New York,NY,10001,1599000,1015,1,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2100854802_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
430 W 34th St Apt 12F,New York,NY,10001,600000,550,0,1.0,300,Make Me Move,"http://www.zillow.com/homes/for_sale/72657904_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 15,New York,NY,10001,14500000,4223,5,6.0,402,Condo For Sale,"http://www.zillow.com/homes/for_sale/2100353196_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
236 W 26th St # 10N,New York,NY,10001,877000,NA,NA,NA,3162,Foreclosure,"http://www.zillow.com/homes/for_sale/82229812_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
28 W 27th St,New York,NY,10001,6750000,NA,0,NA,313,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2099487266_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,1940000,1264,NA,NA,314,Foreclosure,"http://www.zillow.com/homes/for_sale/117689878_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,1440000,995,NA,NA,304,Foreclosure,"http://www.zillow.com/homes/for_sale/125781885_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,148000,1176,NA,NA,229,Foreclosure,"http://www.zillow.com/homes/for_sale/126338821_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,131000,764,NA,NA,226,Foreclosure,"http://www.zillow.com/homes/for_sale/126406219_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
